Fecha;Sorteo;Euros;Numero;Categoria
07/04/2022;27.º DE 2022;300000;97134;Primer Premio Ordinario
07/04/2022;27.º DE 2022;60000;83527;Segundo Premio Ordinario
09/04/2022;28.º DE 2022;1500000;41802;Primer Premio Extraordinario
09/04/2022;28.º DE 2022;300000;59688;Segundo Premio Extraordinario
09/04/2022;28.º DE 2022;150000;75057;Tercer Premio Extraordinario
14/04/2022;29.º DE 2022;300000;92347;Primer Premio Ordinario
14/04/2022;29.º DE 2022;60000;10094;Segundo Premio Ordinario
16/04/2022;30.º DE 2022;600000;57396;Primer Premio Ordinario
16/04/2022;30.º DE 2022;120000;63144;Segundo Premio Ordinario
21/04/2022;31.º DE 2022;300000;24914;Primer Premio Ordinario
21/04/2022;31.º DE 2022;60000;11084;Segundo Premio Ordinario
23/04/2022;32.º DE 2022;600000;15955;Primer Premio Ordinario
23/04/2022;32.º DE 2022;120000;76849;Segundo Premio Ordinario
28/04/2022;33.º DE 2022;300000;97955;Primer Premio Ordinario
28/04/2022;33.º DE 2022;60000;77886;Segundo Premio Ordinario
01/05/2022;34.º DE 2022;1300000;94797;Primer Premio Extraordinario
01/05/2022;34.º DE 2022;250000;80097;Segundo Premio Extraordinario
05/05/2022;35.º DE 2022;300000;1821;Primer Premio Ordinario
05/05/2022;35.º DE 2022;60000;7485;Segundo Premio Ordinario
07/05/2022;36.º DE 2022;600000;41729;Primer Premio Ordinario
07/05/2022;36.º DE 2022;120000;3223;Segundo Premio Ordinario
12/05/2022;37.º DE 2022;300000;73229;Primer Premio Ordinario
12/05/2022;37.º DE 2022;60000;64892;Segundo Premio Ordinario
14/05/2022;38.º DE 2022;600000;54044;Primer Premio Ordinario
14/05/2022;38.º DE 2022;120000;86147;Segundo Premio Ordinario
19/05/2022;39.º DE 2022;300000;81171;Primer Premio Ordinario
19/05/2022;39.º DE 2022;60000;18099;Segundo Premio Ordinario
21/05/2022;40.º DE 2022;600000;97455;Primer Premio Ordinario
21/05/2022;40.º DE 2022;120000;95877;Segundo Premio Ordinario
26/05/2022;41.º DE 2022;300000;71408;Primer Premio Ordinario
26/05/2022;41.º DE 2022;60000;10654;Segundo Premio Ordinario
28/05/2022;42.º DE 2022;600000;36855;Primer Premio Ordinario
28/05/2022;42.º DE 2022;120000;52248;Segundo Premio Ordinario
02/06/2022;43.º DE 2022;300000;74000;Primer Premio Ordinario
02/06/2022;43.º DE 2022;60000;24646;Segundo Premio Ordinario
04/06/2022;44.º DE 2022;1500000;18778;Primer Premio Extraordinario
04/06/2022;44.º DE 2022;300000;67897;Segundo Premio Extraordinario
04/06/2022;44.º DE 2022;150000;14509;Tercer Premio Extraordinario
09/06/2022;45.º DE 2022;300000;41357;Primer Premio Ordinario
09/06/2022;45.º DE 2022;60000;29274;Segundo Premio Ordinario
11/06/2022;46.º DE 2022;600000;81470;Primer Premio Ordinario
11/06/2022;46.º DE 2022;120000;82035;Segundo Premio Ordinario
16/06/2022;47.º DE 2022;300000;69747;Primer Premio Ordinario
16/06/2022;47.º DE 2022;60000;79405;Segundo Premio Ordinario
18/06/2022;48.º DE 2022;600000;18567;Primer Premio Ordinario
18/06/2022;48.º DE 2022;120000;95882;Segundo Premio Ordinario
23/06/2022;49.º DE 2022;300000;51850;Primer Premio Ordinario
23/06/2022;49.º DE 2022;60000;88869;Segundo Premio Ordinario
25/06/2022;50.º DE 2022;600000;56140;Primer Premio Ordinario
25/06/2022;50.º DE 2022;120000;87020;Segundo Premio Ordinario
30/06/2022;51.º DE 2022;300000;95308;Primer Premio Ordinario
30/06/2022;51.º DE 2022;60000;44168;Segundo Premio Ordinario
02/07/2022;52.º DE 2022;2000000;73133;Primer Premio Extraordinario
02/07/2022;52.º DE 2022;600000;82395;Segundo Premio Extraordinario
02/07/2022;52.º DE 2022;200000;50874;Tercer Premio Extraordinario
07/07/2022;53.º DE 2022;300000;79015;Primer Premio Ordinario
07/07/2022;53.º DE 2022;60000;33767;Segundo Premio Ordinario
09/07/2022;54.º DE 2022;1500000;69913;Primer Premio Extraordinario
09/07/2022;54.º DE 2022;300000;5873;Segundo Premio Extraordinario
09/07/2022;54.º DE 2022;150000;77837;Tercer Premio Extraordinario
14/07/2022;55.º DE 2022;300000;13103;Primer Premio Ordinario
14/07/2022;55.º DE 2022;60000;38213;Segundo Premio Ordinario
16/07/2022;56.º DE 2022;600000;75863;Primer Premio Ordinario
16/07/2022;56.º DE 2022;120000;56601;Segundo Premio Ordinario
21/07/2022;57.º DE 2022;300000;84125;Primer Premio Ordinario
21/07/2022;57.º DE 2022;60000;35877;Segundo Premio Ordinario
23/07/2022;58.º DE 2022;600000;62673;Primer Premio Ordinario
23/07/2022;58.º DE 2022;120000;72052;Segundo Premio Ordinario
28/07/2022;59.º DE 2022;300000;9630;Primer Premio Ordinario
28/07/2022;59.º DE 2022;60000;53084;Segundo Premio Ordinario
30/07/2022;60.º DE 2022;600000;46128;Primer Premio Ordinario
30/07/2022;60.º DE 2022;120000;14157;Segundo Premio Ordinario
04/08/2022;61.º DE 2022;300000;49221;Primer Premio Ordinario
04/08/2022;61.º DE 2022;60000;83810;Segundo Premio Ordinario
06/08/2022;62.º DE 2022;1500000;93448;Primer Premio Extraordinario
06/08/2022;62.º DE 2022;300000;69159;Segundo Premio Extraordinario
06/08/2022;62.º DE 2022;150000;2198;Tercer Premio Extraordinario
11/08/2022;63.º DE 2022;300000;79073;Primer Premio Ordinario
11/08/2022;63.º DE 2022;60000;38329;Segundo Premio Ordinario
13/08/2022;64.º DE 2022;600000;6601;Primer Premio Ordinario
13/08/2022;64.º DE 2022;120000;76671;Segundo Premio Ordinario
18/08/2022;65.º DE 2022;300000;74572;Primer Premio Ordinario
18/08/2022;65.º DE 2022;60000;30715;Segundo Premio Ordinario
20/08/2022;66.º DE 2022;600000;35870;Primer Premio Ordinario
20/08/2022;66.º DE 2022;120000;99068;Segundo Premio Ordinario
25/08/2022;67.º DE 2022;300000;79987;Primer Premio Ordinario
25/08/2022;67.º DE 2022;60000;15901;Segundo Premio Ordinario
27/08/2022;68.º DE 2022;600000;7861;Primer Premio Ordinario
27/08/2022;68.º DE 2022;120000;72349;Segundo Premio Ordinario
01/09/2022;69.º DE 2022;300000;69413;Primer Premio Ordinario
01/09/2022;69.º DE 2022;60000;59471;Segundo Premio Ordinario
03/09/2022;70.º DE 2022;1500000;16245;Primer Premio Extraordinario
03/09/2022;70.º DE 2022;300000;77961;Segundo Premio Extraordinario
03/09/2022;70.º DE 2022;150000;77778;Tercer Premio Extraordinario
08/09/2022;71.º DE 2022;300000;62163;Primer Premio Ordinario
08/09/2022;71.º DE 2022;60000;77788;Segundo Premio Ordinario
10/09/2022;72.º DE 2022;600000;85140;Primer Premio Ordinario
